"UAE Economy Lab","Simplified single-country CGE"
"Source","ADB"
"Source URL","https://kidb.adb.org/download/mrio-file/251"
"Baseline year","2024"
"Scenario","Combined scenario"
"Tariff cut (%)","0"
"Productivity (%)","5"
"Productivity sector","manufacturing"
"Mining export demand (%)","-15"
"Import delivered-price change (%)","-5"
"Labor closure","fixed"
"Assumed labor share (%)","60"
"Assumed import substitution elasticity","2"
"Assumed export demand elasticity","4"
"Residual","3.451409189207715e-9"

"Effective sector changes","Productivity (%)","Export demand (%)","Import price (%)"
"Agriculture & fishing","0","0","-5"
"Mining & quarrying","0","-15","-5"
"Food & beverages","5","0","-5"
"Textiles","5","0","-5"
"Leather & footwear","5","0","-5"
"Wood products","5","0","-5"
"Paper & printing","5","0","-5"
"Petroleum refining","5","0","-5"
"Chemicals","12","0","-5"
"Rubber & plastics","5","0","-5"
"Nonmetallic minerals","5","0","-5"
"Metals","5","0","-5"
"Machinery","5","0","-5"
"Electrical & optical equipment","5","0","-5"
"Transport equipment","5","0","-5"
"Other manufacturing","5","0","-5"
"Electricity, gas & water","0","0","-5"
"Construction","0","0","-5"
"Motor trade & fuel retail","0","0","-5"
"Wholesale trade","0","0","-5"
"Retail trade","0","0","-5"
"Hotels & restaurants","0","0","-5"
"Inland transport","0","0","-5"
"Water transport","0","0","-5"
"Air transport","0","8","-5"
"Transport support & travel agencies","0","0","-5"
"Post & telecommunications","0","0","-5"
"Finance","0","0","-5"
"Real estate","0","0","-5"
"Business services","0","0","-5"
"Public administration","0","0","-5"
"Education","0","0","-5"
"Health & social work","0","0","-5"
"Other services","0","0","-5"
"Household employment","0","0","-5"

"Metric","Change (%)"
"Real GDP","2.402359625616901"
"Household purchasing power","4.309476315874883"
"Export volume","4.661150424647986"
"Import volume","5.305724290592306"

"Sector","Baseline output (USD million)","Output change (%)","Price change (%)","Exports change (%)","Imports change (%)","Employment change (%)"
"Agriculture & fishing","6876.504747378066","-0.33744369955142073","-0.07179205332213945","0.28768436415809173","8.28259279520147","-0.5617733270749548"
"Mining & quarrying","143116.23755153554","-4.385615000681553","-0.8995755540675998","-11.87140072722006","11.366672325124094","-7.201976437774238"
"Food & beverages","21219.976911025467","16.453464625795444","-4.763394456633884","21.558230377068167","6.678932567029783","18.833400406388435"
"Textiles","4453.552708428919","7.7083336091353205","-3.532249187765979","15.47059096630463","6.398139958648774","4.33579901428669"
"Leather & footwear","68.59063162978661","10.266600420082629","-3.5398633157437187","15.507054193251602","7.541778321373349","8.498685592495626"
"Wood products","2025.6719098783876","5.67171761317824","-5.857695622469638","27.309467512080964","1.9281849603485224","1.0684904644149285"
"Paper & printing","5309.653304631804","9.800674411954692","-4.476163088686569","20.102754023801552","3.547824645879949","7.735669356682462"
"Petroleum refining","40261.83298816044","14.882159829281072","-4.854377529879439","22.023858328628098","5.104814111243372","16.17307583230363"
"Chemicals","29781.554238736106","25.27550853411946","-7.003153294073117","33.698676519663785","2.3362084979197784","20.525863826400514"
"Rubber & plastics","5907.739656041228","15.076749180461245","-5.201302369840166","23.81991920708886","3.8806127844049243","16.50122084315109"
"Nonmetallic minerals","21544.928300285075","2.4909625623190434","-6.209035383994854","29.227811655126178","-0.2500579370277145","-3.9507920131684915"
"Metals","39435.197681621874","15.89607278707954","-3.876071486830912","17.13156686227095","4.057332976001082","17.88694176282224"
"Machinery","15885.354346777129","8.771196903958977","-3.3931932389084096","14.807191027369871","2.39637063075846","6.0574092412444935"
"Electrical & optical equipment","7146.310541071468","19.76900255367944","-4.857240537284612","22.038546613110512","2.020832910840653","24.52557509301043"
"Transport equipment","5931.704830583198","5.797779103131906","-5.60906586343024","25.973403651231752","1.7670367602600434","1.2695204486810718"
"Other manufacturing","5853.886268506715","16.549714860182707","-4.4130806028688685","19.786020998481145","4.475586084266703","18.997140969125148"
"Electricity, gas & water","36399.176536790605","2.6626822626891977","1.7748093061207504","0","13.332987208183301","4.477076465978014"
"Construction","111443.64762742595","0.5539607780163935","-0.5767232175493464","2.3405413926639307","9.085749234552765","0.9249717634036481"
"Motor trade & fuel retail","19746.894394226507","-0.732606403052305","0.98601508043068","-3.8487224378283225","8.366139158028973","-1.2180265045324767"
"Wholesale trade","21349.447352815983","-0.8238693610599701","1.2287077363215992","-4.767490456790835","10.491552335929399","-1.3693412474240163"
"Retail trade","60361.863596046314","-0.7961836649665099","0.7229969258173652","-2.840461650295789","11.856734507204457","-1.3234479376755148"
"Hotels & restaurants","29646.842454494228","0.33285108553533505","-0.128233977313974","0.5145845313802244","6.393577382402871","0.555367080984559"
"Inland transport","3278.4761684239093","-2.383640227319417","-0.3082043888128383","0","6.933243743421436","-3.9410842140133906"
"Water transport","1429.0762754663456","-1.087277661400432","0.21303046325589214","0","5.133060519946042","-1.8055538463224052"
"Air transport","69059.52308327021","5.4833426712251","0.4013815467331927","6.283292587401479","10.273842169143133","9.304944037413465"
"Transport support & travel agencies","12122.630329357218","0.874980799409264","1.6113641262785583","0","12.539683312777772","1.4625504948639234"
"Post & telecommunications","10015.671858871354","-1.4136218936590783","0.7166191695914037","-2.8158492787919043","9.974360457432962","-2.344917153317305"
"Finance","58586.64682213475","-0.6057201675416457","1.3974587512361802","-5.3998735187653635","13.569732577940098","-1.0074939217294188"
"Real estate","39962.686021846566","0.5998620724697146","1.6994640527210336","0","14.056826276323363","1.001767871614434"
"Business services","56498.8723469762","-1.0894133458353217","0.6161242405127609","-2.4269988324456593","10.996856967267465","-1.8090874470554574"
"Public administration","55486.71628827479","-0.4989564190138962","0.8880875554515333","-3.4748596732747994","6.202282139254023","-0.8302101663608341"
"Education","12761.48384483677","-0.7545535713528784","0.7922696141366758","0","6.77802582606295","-1.2544235653838332"
"Health & social work","19428.924301491388","0.19717954269373728","-0.06154719870954395","0.24656806739646875","6.953965087403113","0.32884852259813524"
"Other services","9711.849415366976","-0.5672942151249694","0.1033140233494434","-0.4121909161785786","9.275939309349003","-0.9437013254046778"
"Household employment","3286.3120200681565","0.1284771430380749","2.296878957212156","0","8.924018725874427","0.21422026073549816"
